VIN,VINMODELYEAR,VINMODEL,VINMODELNAME,VINBRAND
001781bd979b710c1690,2022,226,TORO,FIAT
009169d8e15c5d4b7cbc,2022,226,TORO,FIAT
0119cd22564483794b47,2022,226,TORO,FIAT
01890e7fa4f3cf56553a,2022,226,TORO,FIAT
02f8e2e88ba093bb5fe1,2022,226,TORO,FIAT
03528a0b2aaa535b2afe,2022,226,TORO,FIAT
03920750ddfe6687af35,2022,226,TORO,FIAT
03b4abe420768d5bcb59,2022,226,TORO,FIAT
03dc28ef19d7d1a3b035,2022,226,TORO,FIAT
03e3506e4d33e2a717fe,2022,226,TORO,FIAT
03f5fe3a4d0a5f981106,2022,226,TORO,FIAT
0459fdf75bafa0d4fbd9,2022,226,TORO,FIAT
0546b005748dac6ff0b0,2022,226,TORO,FIAT
06019313f9c90260236e,2022,226,TORO,FIAT
06939d0c6e6b1015cc92,2022,226,TORO,FIAT
06e96f9832dbe65aa96d,2022,226,TORO,FIAT
07623af6ec1066af2ba5,2022,226,TORO,FIAT
086437ebaa862f5b0bce,2022,226,TORO,FIAT
09c41bc411f5695fc933,2022,226,TORO,FIAT
0a5f2e36af3d1be87dfa,2022,226,TORO,FIAT
0a76dc8fa47d83820d90,2022,226,TORO,FIAT
0a8a8e83f68ec9b5bb26,2022,226,TORO,FIAT
0ab7c5261a142824c9d0,2022,226,TORO,FIAT
0ad192427d5b1dd42ea3,2022,226,TORO,FIAT
0bdc74df63f1e19ddc2b,2022,226,TORO,FIAT
0beab53f7b8e83099994,2022,226,TORO,FIAT
0c1bd756125e221afb81,2022,226,TORO,FIAT
0c3907601aa97af95301,2022,226,TORO,FIAT
0c4cd301e738da9c2539,2022,226,TORO,FIAT
0ca94bac5c52c7b7e816,2022,226,TORO,FIAT
0d415d0995c3a325d78c,2022,226,TORO,FIAT
0eb2e84fd653cfde8c89,2022,226,TORO,FIAT
0f0c5e6b7bb642544d15,2022,226,TORO,FIAT
0f66c461320b65c4835c,2022,226,TORO,FIAT
10526583df23b2a7dea9,2022,226,TORO,FIAT
108f52491dda48c23c6c,2022,226,TORO,FIAT
10bd85d26576a4f65ed2,2022,226,TORO,FIAT
11a18e1d51b8af36a53b,2022,226,TORO,FIAT
12f4f1c4d096096cbdce,2022,226,TORO,FIAT
1315bbf0c1841492afea,2022,226,TORO,FIAT
144de23d9b9e34d0ef39,2022,226,TORO,FIAT
14fe781d7e98c45c5283,2022,226,TORO,FIAT
1591210e5b8554c4a9e9,2022,226,TORO,FIAT
15d9bdeba20e621e743c,2022,226,TORO,FIAT
15defcca5d8a9d586e95,2022,226,TORO,FIAT
160415d6d346b11ba23e,2022,226,TORO,FIAT
16765b3a68c2e3e5b25b,2022,226,TORO,FIAT
16c77abe22cb0f60fd36,2022,226,TORO,FIAT
17611c60d2aee66c2a58,2022,226,TORO,FIAT
178a5c684bc71afc10b5,2022,226,TORO,FIAT
17f30a2a4928cd8f85ce,2022,226,TORO,FIAT
18f7fca9fa7de80a378b,2022,226,TORO,FIAT
19baa2e1b82552218fb5,2022,226,TORO,FIAT
19ce44db5540b5d39b4f,2022,226,TORO,FIAT
1a9d91ef823488385f6e,2022,226,TORO,FIAT
1ad57475fe66c372606f,2022,226,TORO,FIAT
1ad7bb84fa70b29cc9a4,2022,226,TORO,FIAT
1bf23ba5e606d3221795,2022,226,TORO,FIAT
1c274c4f33c5f2e8786a,2022,226,TORO,FIAT
1c567be0f496f8e6efc3,2022,226,TORO,FIAT
1d02c7da65fea11c5779,2022,226,TORO,FIAT
1d336dd8d3423f10eb99,2022,226,TORO,FIAT
1d959dff1f0d156feda8,2022,226,TORO,FIAT
1ed440f44c793b9d6db6,2022,226,TORO,FIAT
1f09dfc3d24f0d7e0f91,2022,226,TORO,FIAT
202e7d5de464fab56a1b,2022,226,TORO,FIAT
208725c4cb1e3b17aeb6,2022,226,TORO,FIAT
208ac7554ea26a110133,2022,226,TORO,FIAT
219e6d2ed13eb03c1753,2022,226,TORO,FIAT
21a94e6dcf396bfd03ee,2022,226,TORO,FIAT
225192d3c311d693fce2,2022,226,TORO,FIAT
22bd49e816e9df69056e,2022,226,TORO,FIAT
233296e069ccfbd96123,2022,226,TORO,FIAT
233aa38f3dbdd45e8e32,2022,226,TORO,FIAT
23487185eb9d3e4f562e,2022,226,TORO,FIAT
238238b8291b6289b7bd,2022,226,TORO,FIAT
